,game_title, genre, platforms, developers,release_year,release_month,release_day,average_metascore_ratings
0,Journey,Action|Platformer|3D,PlayStation 4|PC|PlayStation 3,Tricky Pixels,2015,7,21,92.0
1,Celeste,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,Matt Makes Games Inc.,2018,1,25,91.25
2,INSIDE,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,PLAYDEAD,2016,8,23,90.5
3,Overwatch,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,Blizzard Entertainment,2016,5,23,90.67
4,Shovel Knight,Action|Platformer|2D,PlayStation 4|3DS|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox One,Yacht Club Games,2015,4,21,88.22
5,Rayman Legends,Action|Platformer|2D,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox 360|Xbox One,Ubisoft Montpellier,2014,2,18,89.8
6,Fez,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Xbox 360,Polytron Corp.,2014,3,25,90.67
7,Rez Infinite,Shooter|Action|Rail,PlayStation 4|PC,Q Entertainment| Monstars Inc.| Enhance Games,2016,10,13,89.0
8,Titanfall 2,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Respawn Entertainment,2016,10,28,87.33
9,Apex Legends,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,Respawn Entertainment,2019,2,4,88.33
10,Battlefield 1,Action|First-Person|General|Shooter|Tactical,PlayStation 4|PC|Xbox One,EA DICE,2016,10,18,88.0
11,The Binding of Isaac: Rebirth,Action Adventure|Action|Shooter|Shoot-'Em-Up|Survival|Horror|Top-Down,PlayStation 4|3DS|iPhone/iPad|PC|PlayStation Vita|Wii U|Xbox One,Nicalis,2014,11,4,86.25
12,ZEN Pinball 2: Star Wars Rebels,Action|Pinball,PlayStation 4,Zen Studios,2015,4,28,88.0
13,Injustice 2: Legendary Edition,Action|2D|Fighting,PlayStation 4|PC|Xbox One,NetherRealm Studios,2018,3,27,88.0
14,Nex Machina: Death Machine,Shooter|Action|Top-Down|Shoot-'Em-Up,PlayStation 4|PC,Housemarque,2017,6,20,86.0
15,Guacamelee! Super Turbo Championship Edition,Action|Platformer|2D,PlayStation 4|PC|Switch|Wii U|Xbox 360|Xbox One,DrinkBox Studios,2014,7,1,86.2
16,Injustice 2,Action|2D|Fighting,PlayStation 4|iPhone/iPad|PC|Xbox One,NetherRealm Studios,2017,5,16,84.75
17,Dead Cells,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Motion Twin,2018,8,7,89.0
18,Street Fighter V: Arcade Edition,Action|2D|Fighting,PlayStation 4|PC,Capcom,2018,1,16,88.0
19,Dragon Ball FighterZ,Action|2D|Fighting,PlayStation 4|PC|Switch|Xbox One,Arc System Works,2018,1,26,87.0
20,TowerFall Ascension,Action|General,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Matt Thorson,2014,3,11,84.67
21,Wolfenstein II: The New Colossus,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Switch|Xbox One,MachineGames,2017,10,27,85.0
22,Sonic Mania Plus,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Sega,2018,7,17,89.0
23,NBA 2K16,Sim|Sports|Action|Team|General|Basketball,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Xbox 360|Xbox One,Visual Concepts,2015,9,25,86.5
24,Velocity 2X,Scrolling|Action|General|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,FuturLab,2014,9,2,86.75
25,Steins;Gate Elite,Action|General,PlayStation 4|PC|Switch,5pb| Mages.,2019,2,19,85.5
26,Guilty Gear Xrd -REVELATOR-,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3,Arc System Works,2016,6,7,86.0
27,Sonic Mania,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,SegaSoft| Sega| PagodaWest Games,2017,8,15,84.75
28,Beat Saber,Action|General,PlayStation 4|PC,Hyperbolic Magnetism,2018,11,20,86.0
29,Guilty Gear Xrd: Rev 2,Action|2D|Fighting,PlayStation 4|PlayStation 3,Arc System Works,2017,5,26,86.0
30,Resogun: Heroes,Horizontal|Scrolling|Action|Shooter|Shoot-'Em-Up,PlayStation 4,Housemarque,2014,6,24,86.0
31,Battlefield 4,Arcade|Action|First-Person|Shooter|Modern,PlayStation 4|PC|PlayStation 3|Wii U|Xbox 360|Xbox One,EA DICE,2013,11,12,82.6
32,DOOM,Arcade|Third-Person|Action|First-Person|Shooter|Sci-Fi,PlayStation 4|PC|Switch|Xbox One,id Software,2016,5,13,84.45
33,SteamWorld Dig 2,Action Adventure|Action|2D|General|Platformer,PlayStation 4|3DS|PC|PlayStation Vita|Switch|Xbox One,Image & Form,2017,9,26,86.0
34,Resogun: Defenders,Shooter|Action|Horizontal|Shoot-'Em-Up,PlayStation 4,Housemarque,2015,2,17,85.0
35,DJMax Respect,Music|Action|Rhythm,PlayStation 4,Rocky Studio,2018,3,6,85.0
36,Destiny 2,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Bungie,2017,9,6,85.4
37,Assault Android Cactus,Scrolling|Action|General|Shooter|Shoot-'Em-Up|Top-Down,PlayStation 4|PC|Xbox One,Witch Beam,2016,3,8,82.0
38,Shantae: Half-Genie Hero - Ultimate Edition,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,WayForward,2018,5,8,84.5
39,Rogue Legacy,Action|Platformer|2D,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Switch|Xbox One,Cellar Door Games,2014,7,29,84.44
40,Mortal Kombat XL,Action|2D|Fighting,PlayStation 4|PC|Xbox One,NetherRealm Studios,2016,3,1,84.5
41,Geometry Wars 3: Dimensions,Action|Shooter|Shoot-'Em-Up|Top-Down|Static,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Xbox 360|Xbox One,Lucid Games,2014,11,25,85.0
42,Ratchet & Clank,Action|Platformer|3D,PlayStation 4,Insomniac Games,2016,4,12,85.0
43,Far Cry 4,Arcade|Action|First-Person|Shooter|Modern,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Ubisoft Montreal,2014,11,18,82.33
44,Super Meat Boy,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Wii U|Xbox 360,Team Meat,2015,10,6,85.17
45,Guilty Gear Xrd -SIGN-,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3,Arc System Works,2014,12,16,84.0
46,BlazBlue: Central Fiction,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3|Switch,Arc System Works,2016,11,1,84.0
47,Salt and Sanctuary,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Ska Studios,2016,3,15,83.33
48,ZEN Pinball 2: South Park: Super-Sweet Pinball,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|PlayStation 3|PlayStation Vita,Zen Studios,2014,10,14,84.0
49,Thumper,Music|Action|Rhythm,PlayStation 4|PC|Switch|Xbox One,drool Games| Drool,2016,10,10,85.25
50,Sound Shapes,Music Maker|Music|Action|Rhythm|Miscellaneous,PlayStation 4|PlayStation 3|PlayStation Vita,SCEA,2013,11,15,84.0
51,Polybius,Shooter|Action|Rail,PlayStation 4|PC,Llamasoft,2017,5,9,84.0
52,Uncharted: The Lost Legacy,Action|General,PlayStation 4,Naughty Dog,2017,8,22,84.0
53,SoulCalibur VI,Action|3D|Fighting,PlayStation 4|PC|Xbox One,Bandai Namco Games| Project Soul,2018,10,19,82.67
54,ZEN Pinball 2: Aliens Vs. Pinball,Action|Pinball,PlayStation 4|iPhone/iPad|PlayStation 3|PlayStation Vita,Zen Studios,2016,4,26,84.0
55,Hatsune Miku: Project Diva Future Tone - Colorful Tone,Music|Action|Rhythm,PlayStation 4,Sega,2017,1,10,84.0
56,Hatsune Miku: Project Diva Future Tone - Future Sound,Music|Action|Rhythm,PlayStation 4,Sega,2017,1,10,84.0
57,Resogun,Horizontal|Scrolling|Action|Shooter|Shoot-'Em-Up,PlayStation 4|PlayStation 3|PlayStation Vita,Housemarque| XDEV,2013,11,15,84.5
58,BioShock: The Collection,Arcade|Compilation|Action|First-Person|Shooter|Miscellaneous,PlayStation 4|PC|Xbox One,2K Games,2016,9,13,82.67
59,Trine 2: Complete Story,Action|Platformer|2D,PlayStation 4|PC|Switch,Frozenbyte| Inc.,2013,11,15,85.0
60,Call of Duty: Black Ops 4,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,Treyarch,2018,10,12,83.67
61,Guacamelee! 2,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,DrinkBox Studios,2018,8,21,84.75
62,Prey: Mooncrash,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Arkane Studios,2018,6,11,80.0
63,Call of Duty: Modern Warfare Remastered,Arcade|Action|First-Person|Shooter|Tactical,PlayStation 4|PC|Xbox One,Infinity Ward,2016,11,4,86.0
64,ZEN Pinball 2: Portal Pinball,Action|Pinball,PlayStation 4|PlayStation 3|PlayStation Vita,Zen Studios,2015,5,26,83.0
65,Yoku's Island Express,Action|Pinball,PlayStation 4|PC|Switch|Xbox One,Villa Gorilla,2018,5,29,83.0
66,Jamestown+,Scrolling|Action|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC,Final Form Games| LLC,2015,3,17,83.0
67,Terraria,Action Adventure|Sandbox|Action|2D|Platformer,PlayStation 4|3DS|iPhone/iPad|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox 360|Xbox One,Engine Software| Pipeworks Software| Inc.,2014,11,11,82.0
68,Battle Chef Brigade,Action|Beat-'Em-Up|2D,PlayStation 4|PC|Switch,Trinket Studios,2018,8,28,81.33
69,Metro Redux,Compilation|Action|First-Person|Sci-Fi|Shooter|Miscellaneous,PlayStation 4|PC|Xbox One,4A Games,2014,8,26,83.67
70,The Swapper,Action|Platformer|2D,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox One,Facepalm Games,2014,8,5,86.33
71,Call of Duty: Advanced Warfare,Arcade|Action|First-Person|Shooter|Modern,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Sledgehammer Games,2014,11,3,80.67
72,Mortal Kombat X,Action|2D|3D|Fighting,PlayStation 4|PC|Xbox One,Warner Bros. Interactive Entertainment| NetherRealm Studios,2015,4,14,81.67
73,The Unfinished Swan,Action|First-Person|General|3D|Adventure,PlayStation 4|PlayStation 3|PlayStation Vita,Armature Studio,2014,10,28,83.0
